Size,PhaseName,MetricName,Sequence,MetricValue,Scenario,CaseName,RunIndex,Tool,Iteration
1,ReCheck,Time,14,192848456,User,ConnectedSegments,1,Sesame,4
1,LHS,Time,15,617052,User,ConnectedSegments,1,Sesame,5
1,RHS,Time,16,12872548,User,ConnectedSegments,1,Sesame,5
1,ReCheck,Time,17,207441644,User,ConnectedSegments,1,Sesame,5
1,LHS,Time,18,595997,User,ConnectedSegments,1,Sesame,6
1,RHS,Time,19,13442229,User,ConnectedSegments,1,Sesame,6
1,ReCheck,Time,20,191803143,User,ConnectedSegments,1,Sesame,6
1,LHS,Time,21,583662,User,ConnectedSegments,1,Sesame,7
1,RHS,Time,22,10779226,User,ConnectedSegments,1,Sesame,7
1,ReCheck,Time,23,189377804,User,ConnectedSegments,1,Sesame,7
1,LHS,Time,24,606345,User,ConnectedSegments,1,Sesame,8
1,RHS,Time,25,9694850,User,ConnectedSegments,1,Sesame,8
1,ReCheck,Time,26,193472456,User,ConnectedSegments,1,Sesame,8
1,LHS,Time,27,704710,User,ConnectedSegments,1,Sesame,9
1,RHS,Time,28,10877196,User,ConnectedSegments,1,Sesame,9
1,ReCheck,Time,29,188875980,User,ConnectedSegments,1,Sesame,9
1,LHS,Time,30,587160,User,ConnectedSegments,1,Sesame,10
1,RHS,Time,31,9476937,User,ConnectedSegments,1,Sesame,10
1,ReCheck,Time,32,180501580,User,ConnectedSegments,1,Sesame,10
1,Read,Time,1,2272152354,Repair,ConnectedSegments,1,EMFIncQuery,1
1,Check,Time,2,25828,Repair,ConnectedSegments,1,EMFIncQuery,1
1,LHS,Time,3,7225,Repair,ConnectedSegments,1,EMFIncQuery,1
1,RHS,Time,4,28431272,Repair,ConnectedSegments,1,EMFIncQuery,1
1,ReCheck,Time,5,2364,Repair,ConnectedSegments,1,EMFIncQuery,1
1,Read,Time,1,1046196817,Repair,ConnectedSegments,1,MySQL,1
1,Check,Time,2,11066562,Repair,ConnectedSegments,1,MySQL,1
1,LHS,Time,3,6244,Repair,ConnectedSegments,1,MySQL,1
1,RHS,Time,4,36069597,Repair,ConnectedSegments,1,MySQL,1
1,ReCheck,Time,5,8987317,Repair,ConnectedSegments,1,MySQL,1
2,Read,Time,1,1685664794,Batch,ConnectedSegments,1,Java,1
2,Check,Time,2,135155456,Batch,ConnectedSegments,1,Java,1
1,Read,Time,1,1503389157,Batch,ConnectedSegments,1,Java,1
1,Check,Time,2,56421540,Batch,ConnectedSegments,1,Java,1
1,Read,Time,1,5375827021,Batch,PosLength,1,Neo4j,1
1,Check,Time,2,1459673730,Batch,PosLength,1,Neo4j,1
1,Read,Time,1,1039729772,User,ConnectedSegments,1,MySQL,1
1,Check,Time,2,13970735,User,ConnectedSegments,1,MySQL,1
1,LHS,Time,3,57966645,User,ConnectedSegments,1,MySQL,1
1,RHS,Time,4,30338472,User,ConnectedSegments,1,MySQL,1
1,ReCheck,Time,5,7726320,User,ConnectedSegments,1,MySQL,1
1,LHS,Time,6,17621777,User,ConnectedSegments,1,MySQL,2
1,RHS,Time,7,25535560,User,ConnectedSegments,1,MySQL,2
1,ReCheck,Time,8,8284426,User,ConnectedSegments,1,MySQL,2
1,LHS,Time,9,15448123,User,ConnectedSegments,1,MySQL,3
1,RHS,Time,10,28423645,User,ConnectedSegments,1,MySQL,3
1,ReCheck,Time,11,11541253,User,ConnectedSegments,1,MySQL,3
1,LHS,Time,12,4953008,User,ConnectedSegments,1,MySQL,4
1,RHS,Time,13,42958043,User,ConnectedSegments,1,MySQL,4
1,ReCheck,Time,14,10115166,User,ConnectedSegments,1,MySQL,4
1,LHS,Time,15,6489731,User,ConnectedSegments,1,MySQL,5
1,RHS,Time,16,24722036,User,ConnectedSegments,1,MySQL,5
1,ReCheck,Time,17,8187912,User,ConnectedSegments,1,MySQL,5
1,LHS,Time,18,2232965,User,ConnectedSegments,1,MySQL,6
1,RHS,Time,19,21328147,User,ConnectedSegments,1,MySQL,6
1,ReCheck,Time,20,8604876,User,ConnectedSegments,1,MySQL,6
1,LHS,Time,21,1931052,User,ConnectedSegments,1,MySQL,7
1,RHS,Time,22,25524176,User,ConnectedSegments,1,MySQL,7
1,ReCheck,Time,23,9099242,User,ConnectedSegments,1,MySQL,7
1,LHS,Time,24,2267196,User,ConnectedSegments,1,MySQL,8
1,RHS,Time,25,20450953,User,ConnectedSegments,1,MySQL,8
